,listed_in,show_id
0,Children & Family Movies,81145628
1,Stand-Up Comedy,80117401
2,Kids' TV,70234439
3,Kids' TV,80058654
4,Comedies,80125979
5,Crime TV Shows,80163890
6,International Movies,70304989
7,Stand-Up Comedy,80164077
8,Docuseries,80117902
9,Action & Adventure,70304990
10,Stand-Up Comedy,80169755
11,Action & Adventure,70299204
12,Children & Family Movies,80182480
13,Children & Family Movies,80182483
14,Children & Family Movies,80182596
15,Children & Family Movies,80182482
16,Children & Family Movies,80182597
17,Children & Family Movies,80182481
18,Children & Family Movies,80182621
19,Cult Movies,80057969
20,Comedies,80060297
21,Action & Adventure,80046728
22,Documentaries,80046727
23,Horror Movies,70304988
24,Dramas,80057700
25,Dramas,80045922
26,International TV Shows,80244601
27,Documentaries,80203094
28,Docuseries,80190843
29,Horror Movies,70241607
30,Children & Family Movies,80988892
31,Comedies,80239639
32,Dramas,80159586
33,Dramas,80152447
34,Kids' TV,80221550
35,Dramas,81154455
36,Comedies,81113928
37,Comedies,81052275
38,Comedies,81132437
39,International TV Shows,80178151
40,Action & Adventure,80058026
41,Comedies,70303496
42,Dramas,80162141
43,Documentaries,80095641
44,Documentaries,81176188
45,Comedies,80159880
46,Comedies,81016044
47,Comedies,80158838
48,Dramas,81016045
49,Horror Movies,70142798
50,Horror Movies,70062814
51,Comedies,80158839
52,Comedies,80147760
53,Stand-Up Comedy,80177405
54,Romantic TV Shows,80113482
55,Dramas,81160036
56,Horror Movies,81173255
57,Dramas,81078908
58,Comedies,81155784
59,Action & Adventure,80201906
60,Comedies,80052612
61,Crime TV Shows,80113641
62,Stand-Up Comedy,81054495
63,TV Comedies,80996949
64,Kids' TV,80239337
65,Children & Family Movies,70212504
66,Docuseries,81011682
67,Docuseries,80128317
68,Docuseries,81027384
69,Docuseries,80030186
70,Kids' TV,80116921
71,Dramas,80187061
72,British TV Shows,80181555
73,Documentaries,80081155
74,International TV Shows,80184358
75,Action & Adventure,80198585
76,Action & Adventure,70233894
77,Dramas,81011955
78,Horror Movies,80128722
79,Documentaries,80182115
80,International TV Shows,80163293
81,Dramas,80104068
82,Documentaries,80119349
83,British TV Shows,80199032
84,International TV Shows,80180449
85,Children & Family Movies,80019931
86,Documentaries,81053893
