,country,show_id
0,Germany,80016401
1,South Africa,80182274
2,United States,81145628
3,United Kingdom,80117401
4,United States,70234439
5,United States,80058654
6,United States,80125979
7,Spain,80163890
8,Bulgaria,70304989
9,Chile,80164077
10,United States,80117902
11,United States,70304990
12,Netherlands,70299204
13,France,80057969
14,United States,80060297
15,France,80046728
16,United States,80046727
17,United States,70304988
18,United States,80057700
19,United States,80045922
20,"United States,",80203094
21,Thailand,70241607
22,China,80988892
23,United States,80239639
24,Belgium,80159586
25,Belgium,80152447
26,India,81154455
27,India,81052275
28,France,80178151
29,United States,80058026
30,India,70303496
31,United Kingdom,80162141
32,United Kingdom,80095641
33,United States,80159880
34,Thailand,81016044
35,Thailand,80158838
36,Thailand,81016045
37,Thailand,70142798
38,Thailand,70062814
39,Thailand,80158839
40,United States,80147760
41,United States,80177405
42,United States,80113482
43,Pakistan,81160036
44,Canada,81173255
45,United States,81078908
46,India,81155784
47,United States,80201906
48,United Kingdom,80052612
49,United States,80113641
50,United Kingdom,81054495
51,United States,80996949
52,United States,80239337
53,United States,70212504
54,United States,81011682
55,United States,80128317
56,United States,81027384
57,United States,80030186
58,United States,80116921
59,South Korea,80187061
60,United Kingdom,80181555
61,Denmark,80081155
62,United Kingdom,80198585
63,Turkey,70233894
64,Brazil,81011955
65,United States,80128722
66,United States,80182115
67,United States,80104068
68,United Kingdom,80199032
69,United States,80019931
70,Denmark,80200087
71,Indonesia,81002850
72,China,81004470
73,United States,80157072
74,United States,81001809
75,United States,80201933
76,Indonesia,81002864
77,Indonesia,81016750
78,Indonesia,81002866
79,Spain,80992039
80,Ireland,80126507
81,India,80225885
82,Turkey,81132443
83,United States,80231903
84,United States,81171121
85,United States,80241248
86,Hong Kong,81012295
87,France,80060037
88,United States,60003155
89,India,81177238
90,Hong Kong,70270775
91,Mexico,81025403
92,United States,80215923
93,United States,80151483
94,United States,80173625
95,United States,80005444
96,United States,80244682
97,Vietnam,81075519
98,France,80166318
99,India,81186758
100,India,81186757
101,United States,80108976
102,United States,80208155
103,United States,80198423
104,United Kingdom,80162144
105,United States,81053953
106,United States,81074113
107,China,80992496
108,Canada,70304191
109,Spain,80103311
110,India,81176200
111,United States,80208906
112,United States,80097321
113,United States,80106966
114,United States,81004814
115,India,81080769
116,United States,70267838
117,United Kingdom,80211380
118,United States,80196586
119,United States,80099204
120,United States,80059432
121,Nigeria,81172721
122,Nigeria,81172727
123,France,70153543
124,Nigeria,81172728
125,South Korea,81095101
126,Japan,80241960
127,United Kingdom,80115346
128,United States,80124522
129,United States,80102952
130,Brazil,80214464
131,United States,80157073
132,United States,80243600
133,United Kingdom,80216172
134,United States,81122669
135,United States,80184771
136,Spain,81000389
137,Turkey,81132439
138,Canada,81035117
139,United States,80244627
140,Hong Kong,80150502
141,Japan,80189183
142,Hong Kong,80997866
143,United States,80119815
144,United States,80993149
145,Thailand,80224294
146,Vietnam,80203776
147,China,80143797
148,United States,80161931
149,United States,80057610
150,Norway,80017275
151,India,81107545
152,France,70118953
153,United States,80190449
154,Canada,70259208
155,United States,80163156
156,United States,80176878
157,Canada,80149143
158,South Korea,81144925
159,United States,80987075
160,United States,80192815
161,United Kingdom,80136785
162,United States,80066798
163,United States,81147293
