,director,show_id
0,Richard Finn,81145628
1,Fernando Lebrija,80125979
2,Gabe Ibáñez,70304989
3,Rodrigo Toro,80164077
4,Henrik Ruben Genz,70304990
5,José Miguel Contreras,80169755
6,Daniel Alfredson,70299204
7,Munjal Shroff,80182483
8,Munjal Shroff,80182596
9,Tilak Shetty,80182482
10,Tilak Shetty,80182597
11,Munjal Shroff,80182621
12,Gaspar Noé,80057969
13,Tom O'Brien,80060297
14,Antoine Bardou-Jacquet,80046728
15,Mitch Dickman,80046727
16,Brad Anderson,70304988
17,Austin Stark,80057700
18,Hannah Fidell,80045922
19,Madeleine Gavin,80203094
20,Sopon Sukdapisit,70241607
21,Kevin R. Adams,80988892
22,Ian Samuels,80239639
23,Franck Ribière,80159586
24,Daniele Thompson,80152447
25,Anubhav Sinha,81154455
26,Maha Venkatesh,81113928
27,Tharun Bhascker,81052275
28,Şenol Sönmez,81132437
29,Tom Gianas,80058026
30,Rajkumar Hirani,70303496
31,Robert Osman,80162141
32,Jon Spira,80095641
33,Mez Tharatorn,80159880
34,Adisorn Tresirikasem,81016044
35,Mez Tharatorn,80158838
36,Banjong Pisanthanakun,81016045
37,Banjong Pisanthanakun,70142798
38,Banjong Pisanthanakun,70062814
39,Chayanop Boonprakob,80158839
40,Susan Johnson,80147760
41,Lynn Shelton,80177405
42,Farhan Alam,81160036
43,Chad Archibald,81173255
44,Brian Baugh,81078908
45,A. L. Vijay,81155784
46,Ryan Coogler,80201906
47,Ben Palmer,80052612
48,Chris Howe,81054495
49,Ken Kwapis,70212504
50,Park In-je,80187061
51,Rod Blackhurst,80081155
52,Jesse V. Johnson,80198585
53,Mahsun Kırmızıgül,70233894
54,Monique Gardenberg,81011955
55,Mike Flanagan,80128722
56,Jacob LaMendola,80182115
57,Ritesh Batra,80104068
58,Dylan Howitt,80119349
59,William Lau,80019931
60,Mana Yasuda,81053893
61,Brian De Palma,80200087
62,Mana Yasuda,81053892
63,Rizal Mantovani,81002850
64,Han Yan,81004470
65,Jeremy Saulnier,80157072
66,Kim A. Snyder,81001809
67,Raditya Dika,81002864
68,Rocky Soraya,81016750
69,Sunil Soraya,81002866
70,Álvaro Longoria,80992039
71,Brendan Byrne,80126507
72,Gupse Özay,81132443
73,Jim Mickle,80231903
74,Jumpei Mizusaki,81171121
75,Chi Fat Chan,81012295
76,Nabil Ayouch,80060037
77,Rob LaDuca,60003155
78,Mangesh Hadawale,81177238
79,Wong Kar Wai,70270775
80,Rob Cohen,80215923
81,Louis J. Horvitz,80151483
82,Linda Saffire,80173625
83,Luis Lopez,80005444
84,Otilia Portillo Padua,80244682
85,Le Van Kiet,81075519
86,Eric Summer,80166318
87,B. V. Nandini Reddy,81186758
88,B. V. Nandini Reddy,81186757
89,Mario Van Peebles,80108976
90,Ava DuVernay,80208155
91,Sonia Lowman,80198423
92,Benjamin Turner,80162144
93,Michael J. Bassett,81053953
94,Troy Miller,81074113
95,Tan Bing,80992496
96,Warren P. Sonoda,70304191
97,Álex de la Iglesia,80103311
98,Rahul Ravindran,81176200
99,Archie Borders,80208906
100,Bonni Cohen,80097321
101,Bobcat Goldthwait,80106966
102,Deepti Naval,81080769
103,Morgan Neville,70267838
104,Anthony Byrne,80211380
105,Chris Moukarbel,80196586
106,Ana Lily Amirpour,80099204
107,Alex Winter,80059432
108,Kemi Adetiba,81172721
109,Toka McBaror,81172727
110,Gilles Paquet-Brenner,70153543
111,Niyi Akinmolayan,81172728
112,Rashida Jones,80102952
113,Scott Aukerman,80243600
114,Mariano Barroso,81020523
115,Amara Cash,81122669
116,Kiko Cruz Claverol,81000389
117,Bedran Güzel,81132439
118,Chun Wong,80150502
119,Coerte Voorhees,80119815
120,Samuel D. Pollard,80993149
121,Ham Tran,80203776
122,Feng Xiaogang,80143797
123,Gary Michael Schultz,80161931
124,Liv Ullmann,80017275
125,Sandeep Reddy Vanga,81107545
126,Jacques Perrin,70118953
127,Justin Benson,80190449
128,Michael Bonfiglio,80163156
129,Zack Whedon,80149143
130,Eric Stoltz,80987075
131,Conrad Helten,80192815
132,Morgan Neville,80066798
133,Teo Konuralp,81147293
134,Jesse V. Johnson,80991316
135,Chris Perkel,80190588
136,Cheh Chang,70124316
137,Manny Rodriguez,70229037
138,Robert Eggers,80037280
139,Chuck Russell,80058248
140,John Erick Dowdle,70307661
141,Edgar Wright,70117312
142,Tony Elliott,80092885
143,Troy Miller,80108371
144,Louis C.K.,70129452
145,Jeremy Coon,80045805
146,Orlando von Einsiedel,80101827
147,Tom Donahue,81030342
148,Michèle Ohayon,70054723
149,Timothy Woodward Jr.,81131761
150,Nia Dinata,81016326
151,Mark O'Connor,80227777
152,Ajithkumar,81018233
153,Lucky Kuswandi,81016317
154,Riri Riza,81016337
155,Vijay Milton,81018234
156,Susannah Heath-Eves,81018241
157,Santwana Bardoloi,81018235
158,Atanu Ghosh,81018236
159,Amitava Bhattacharya,81018237
160,Partha Chakraborty,81018238
161,Raffi Ahmad,81016339
162,Angelina Jolie,80067522
163,Pavel Parkhomenko,80192149
164,Azfar Jafri,80142637
165,R. Ellis Frazier,80192014
166,R. Ellis Frazier,80192015
167,Yance Ford,80168230
168,Mark Tonderai,80202129
169,Roman Atwood,80088910
170,Dan Forrer,70290909
171,Kip Andersen,80033772
172,B. V. Nandini Reddy,81093951
173,Randall Lobb,80238013
174,Stacie Passon,81089941
175,Manop Janjarasskul,81000011
176,Shinsuke Sato,80217733
177,Chatchai Katenut,80999985
178,Ariel Vromen,80188120
179,Nicole Holofcener,80164779
180,Jerry G. Angelo,81092328
181,Michael Feifer,81183572
182,Elle Callahan,81037283
183,Alex Stapleton,80244973
184,Kıvanç Baruönü,81132438
185,Teng Huatao,81161230
186,Nzingha Stewart,81002412
187,Mark Dennis,81023636
188,Ben Wallis,80198046
189,Dan Krauss,80106307
190,David Soren,70267728
191,Alessio Cremonini,81001000
192,Elaine McMillion Sheldon,80192445
193,Michael Simon,80158670
194,Joram Lürsen,80244019
195,Oliver Frampton,80162143
196,Mike Binder,81060174
197,Ryan Murphy,70130445
198,Orlando von Einsiedel,80216928
199,Mark Franchetti,81001494
200,Damián Romay,80991570
201,Trent Haaga,80184129
202,Mary Harron,60000861
203,Roger Donaldson,1151375
204,Petra Costa,81137484
205,Steven C. Miller,80187228
206,Richard Miron,81031008
207,Tony Leondis,70099119
208,Roger Kumble,70039185
209,Kunle Afolayan,81165769
210,Craig Gillespie,70056433
211,Nick Cassavetes,70113003
212,Clint Eastwood,60031232
213,Kunle Afolayan,80032842
214,Petra Costa,81137482
215,Roger Allers,70043308
216,Kunle Afolayan,81165771
217,Wolfgang Petersen,70044697
218,Jonathan Demme,70105368
219,Bernie Denk,81141689
220,Ivan Reitman,1008581
221,Greg Mottola,70058023
222,Kunle Afolayan,81165786
223,Kunle Afolayan,81165770
224,Alejandro Agresti,70043303
225,Daniel Stamm,70136074
226,Phillip Noyce,1153194
227,Tony Scott,70112730
228,Ahmed Zain,81158575
229,Mohamed Hamdy,81065786
230,Dennis Dugan,70087541
231,Peter Ho,81004113
232,Jordi Llompart,81003984
233,Rian Johnson,70024088
234,Olivier Marchal,81005312
235,Dennis Iliadis,80082969
236,Qaushiq Mukherjee,80994130
237,Sudip Bandyopadhyay,81019924
238,Onir,81018240
239,Jatla Siddartha,81013710
240,Jeremy Saulnier,70077076
241,Kanwal Sethi,81014988
242,Banjong Pisanthanakun,80102950
243,Alfonso Cuarón,70055221
244,Samuel Jouy,81005314
245,Akiva Goldsman,80242828
246,Damien Leone,81004223
247,Karen Moncrieff,80198730
248,Jean-Pierre Devillers,80999945
249,Sophon Sakdaphisit,81016043
250,Curtis Hanson,17672040
251,Young Jun Lee,81011096
252,Rajiv Mehra,20254278
253,Toshiyuki Kubooka,70276596
254,Toshiyuki Kubooka,80063025
255,Todd S. Yellin,70068739
256,Jesse Adang,80184974
257,Rajiv Mehra,80156941
258,Elizabeth Chai Vasarhelyi,80061314
259,Toshiya Shinohara,70052492
260,Toshiya Shinohara,70036200
261,Toshiya Shinohara,70018513
262,Mohammed Hussain,80158480
263,Eli Craig,80139506
264,Parambrata Chatterjee,80205314
265,Shammi Kapoor,80158545
266,Umesh Mehra,80156939
267,Masahiko Murata,80152537
268,Masahiko Murata,80045673
269,Masahiko Murata,70275937
270,Hirotsugu Kawasaki,70101321
271,Toshiyuki Tsuru,70108386
272,Tensai Okamura,70074559
273,Florian Schnell,80162197
274,Josh Izenberg,80184055
275,Thierry Demaizière,80160358
276,Spike Lee,60034929
277,Latif Faiziyev,80157134
278,Gastón Duprat,80141891
279,Bette Gordon,80183897
280,Gary Wang,80177834
281,Raz Degan,80121855
282,Israel Adrián Caetano,80168028
283,Mariano Cohn,80190990
284,Drew Stone,80173269
285,Joram Lürsen,80106140
286,Jelle de Jonge,80106137
287,Afia Nathaniel,80114155
288,Luke Jurevicius,80118841
289,Sean Cisterna,80102579
290,Will Allen,80097438
291,Nacho G. Velilla,80114419
292,David Serrano,80103426
293,Jay Chapman,70278877
294,Jenny Gage,80244311
295,Kaila York,81183570
296,Ifa Isfansyah,81016328
297,Stan Lathan,80239503
298,Angga Dwimas Sasongko,81016321
299,Evgeny Afineevsky,80031666
300,Ryan Polito,80995737
301,Kabir Bhatia,81020161
302,Russell Crowe,80025390
303,Andrew Sandler,80196216
304,Ava DuVernay,80091741
305,Dave Higby,80115464
306,Richie Smyth,80041653
307,Andibachtiar Yusuf,81016338
308,Dustin Nguyen,81002592
309,Chris Eigeman,81017724
310,Stanley Tong,80170301
311,David France,80189623
312,Vandana Kataria,81177367
313,Angga Dwimas Sasongko,81016323
314,Riri Riza,81016318
315,Olaf de Fleur,80242081
316,Tamara Jenkins,80168222
317,Onur Bilgetay,81158574
318,Vincenzo Natali,80237905
319,Tugçe Soysop,81132440
320,Jacob Joice,81021243
321,Craig Goodwill,81004460
322,Riri Riza,81016330
323,Mickey Liddell,70105130
324,Michael D. Black,80141858
325,Juani Libonatti,81084225
326,DJ Chen,80203920
327,Dani de la Torre,80199806
328,Jerrold Tarog,80084834
329,Judah Friedlander,80208273
330,Errol Morris,80145699
331,Oliver Blackburn,70266684
332,Park Joon-hwa,81166978
333,Saravana Rajendran,81177371
334,Onir,70067230
335,Jitendra Tiwari,80207446
336,Vivek Wagh,80207447
337,Riri Riza,81016324
338,Alex Israel,80192097
339,Lee Fulkerson,70185045
340,Joe Camp,70002129
341,Kavi Raz,80191963
342,Nick Simon,80218099
343,Don Mancini,80199767
344,Brandon Jones,80191665
345,Alain Desrochers,80161921
346,Brian Volk-Weiss,81148672
347,Deniz Gamze Ergüven,80224362
348,Robert Vince,80092857
349,Everardo González,80244679
350,Matt Kay,81110394
351,Drake Doremus,80067754
352,Robert Vince,80189954
353,Osgood Perkins,80094648
354,Werner Herzog,80066073
355,Julien Rambaldi,80123740
356,Yvan Attal,80123741
357,Benjamin Weill,80123742
358,Scott Hussion,81000863
359,Wilson Yip,70082255
360,Griffin Dunne,80117454
361,Roger Gual,80095197
362,J. Davis,80045783
363,Rob Smat,81123469
364,Tinge Krishnan,80211622
365,Aleksey German,80990221
366,Eric Zaragosa,80202352
367,Sergio Barrejón,80235268
368,Sandi Tan,80241061
369,Vijay Yelakanti,81025088
370,Katherine Dieckmann,80173479
371,Natalie Portman,80081372
372,John Murlowski,81136744
373,Ozan Açıktan,81132444
374,Craig Brewer,80182014
375,Billy Lyons,81078456
376,Michael Steed,81121023
377,Zak Hilditch,81018455
378,Michael Steiner,81110383
379,Vlad Yudin,81018183
380,Paul Berczeller,80219941
381,Quentin Tarantino,80064515
382,Chris Buck,80062011
383,Andrew Slater,81034741
384,Glen Goei,81075461
385,S.S. Rajamouli,80205231
386,Brian Klein,80158919
387,Katy Chevigny,70299286
388,Sarik Andreasyan,80017261
389,Huw Cordey,80186796
390,Yuen Woo-ping,81071891
391,Steve Brill,80224536
392,Don Michael Paul,80994444
393,Noah Baumbach,80017286
394,Jonathan Mostow,70295169
395,Brett Haley,80039050
396,Gillian Robespierre,81027753
397,Tobe Hooper,15815343
398,Daniel Benmayor,70295176
399,Abu Bakr Shawky,81043190
400,Jedd Wider,80131240
401,Nagesh Kukunoor,70170182
402,Priyadarshan,70082633
403,Raj Kanwar,70049619
404,Pooja Bhatt,80211135
405,Satish Kaushik,70109884
406,Nikhil Advani,70176967
407,Anees Bazmee,70198040
408,Andrew Bujalski,80038442
409,Ben Wheatley,80091310
410,Riri Riza,70114484
411,Anthony Giordano,80117443
412,Wyatt Cenac,80010717
413,Joanna Lombardi,81020005
414,David Batty,81035748
415,Zak Hilditch,80135164
416,Jennifer Siebel Newsom,70167128
417,Heidi Ewing,80118101
418,Jeremy Rush,80113669
419,Luis Javier Henaine,81094801
420,Anand Kamalakar,81191195
421,Don Michael Paul,80218973
422,Eric Idle,80235999
423,Anthony Giordano,80215419
424,Will Yapp,70118860
425,Eric Idle,80017240
426,Will Yapp,70118859
427,Terry Hughes,80236778
428,Roger Graef,80236470
429,Terry Jones,699257
430,Ian MacNaughton,80236574
431,Albert Sharpe,80988048
432,Leslye Headland,80039069
433,Jay Karas,80046779
434,Prakash Satam,80995687
435,Barry Sonnenfeld,60001650
436,Omoni Oboli,81172848
437,Thomas Vinterberg,81034575
438,Marcos Bucay,80226951
439,Peter Lepeniotis,80232279
440,Kim Jee-woon,80239666
441,Rajesh Touchriver,81011973
442,David Lam,80144152
443,David Batty,81035749
444,David Batty,81035750
445,David Batty,81035751
446,Timo Tjahjanto,80148162
447,Reem Kherici,80171705
448,Adze Ugah,81172729
449,Steve Gukas,81172895
450,Ciarán Foy,80206910
451,Frank Rajah Arase,81172905
452,Yılmaz Erdoğan,81132442
453,Tope Oshin,81172723
454,Daniel Sánchez Arévalo,80990336
455,Don Omope,81172909
456,Ed Perkins,80214706
457,Steven Soderbergh,80994011
458,Tope Oshin,81172902
459,Udai Singh Pawar,80998890
460,Guntur Soeharjanto,81047903
461,Thiru,81026343
462,Federico Lemos,80208635
463,Harald Zwart,70125931
464,Bruce McDonald,70235768
465,Bobcat Goldthwait,80177406
466,Bassam Tariq,81081656
467,Leslie Iwerks,81187847
468,Kim Joo-hyung,81053240
469,Ciarán Foy,80043834
470,Louie Psihoyos,81157840
471,Tom Forrest,80244900
472,Milan Luthria,80211134
473,John Crowley,70271601
474,Ranjit Tiwari,80204433
475,Tom Fassaert,80089199
476,Adam Dubin,80043049
477,Cary Joji Fukunaga,80044545
478,Aaron Hann,80070182
479,Ahmet Katıksız,80176234
480,Alexandros Avranas,80992769
481,Anindya Chatterjee,81191228
482,Anik Datta,81025935
483,Rajkumar Hirani,81020508
484,Ishaan Trivedi,80201824
485,Biswajeet Bora,80203782
486,Sohail Tatari,80201829
487,David Stubbs,80126016
488,Madhur Bhandarkar,80202089
489,Parveen Kumar,80203789
490,Matías Gueilburt,80193423
491,Ananth Narayan Mahadevan,80201825
492,Ah Loong,80202376
493,Girish Malik,80028360
494,Debaloy Dey,80203783
495,Martin Rosete,80142617
496,Jasmine D'Souza,80201823
497,Ben C. Lucas,80190841
498,Rohit Jugraj,80115858
499,Shakti Samanta,80158547
500,Raj B. Shetty,80206827
501,Navneet Behal,80202090
502,Sukhbir Singh,80203790
503,Naresh Saigal,80158391
504,Ram Gopal Varma,80201822
505,Dhruv Dhawan,80211540
506,Thomas Sorriaux,80123743
507,Toshiyuki Kubooka,70258995
508,Noriyuki Abe,70208801
509,Noriyuki Abe,70260383
510,Clovis Cornillac,80123744
511,Hajime Kamegaki,70105699
512,Hajime Kamegaki,70124999
513,Jean-François Blais,80990869
514,Derek Hui,80187205
515,Kevin MacDonald,80097472
516,Stefano Sollima,80075009
517,Dave Higby,70280748
518,Leïla Sy,81034012
519,Shaad Ali,81019031
520,Mahmoud al Massad,80148070
521,Yesim Ustaoglu,80155812
522,Jan Suter,80183198
523,Lucy Cohen,80158844
524,McG,80164456
525,Noah Baumbach,80174434
526,Christopher Guest,80075476
527,Gareth Evans,80158148
528,Paul Urkijo Alijo,80239565
529,Johanna Demetrakas,80216844
530,Padraic McKinley,80187722
531,Rizal Mantovani,81021082
532,Kief Davidson,80191047
533,Sara Colangelo,80240972
534,Mahmoud Sabbagh,80103282
535,Borja Cobeaga,80134526
536,Jonathan Demme,80127559
537,Leo Riley,80005501
538,Hakan Algül,81132441
539,Vince Gilligan,81078819
540,Brad Anderson,80223997
541,Bolanle Austen-Peters,81191666
542,Sion Sono,81133621
543,Dennis Rovira van Boekholt,81038598
544,Angga Dwimas Sasongko,81016322
545,Mohamed Diab,80147323
546,Naoto Amazutsumi,81171871
547,Paul Greengrass,80210932
548,Rusty Cundieff,81015317
549,Jay Karas,80205204
550,Alastair Fothergill,70235731
551,James Yukich,80003481
552,Maciej Dejczer,81168338
553,Rusty Nixon,81103033
554,Lee Tamahori,60002273
555,Richard Rich,70297962
556,Michael Bay,269880
557,Michael Bay,60029167
558,Ted Demme,60020891
559,Bernard Rose,347365
560,McG,60003242
561,McG,60027726
562,Lee Yoon-jung,81166946
563,Paul Haggis,70023961
564,Troy Miller,60027716
565,Dave Green,70287957
566,Wojciech Marczewski,81168345
567,Andrzej Bartkowiak,60020892
568,Roy Poortmans,81164752
569,Brian Robbins,60028097
570,Mark Helfrich,70065112
571,Jon Hurwitz,70083108
572,Bille Woodruff,70184050
573,Janusz Majewski,81168347
574,Alex Merkin,81003460
575,Janusz Majewski,81168348
576,Alex Proyas,70095135
577,Vrinda Samartha,81191254
578,Jacek Koprowicz,81168340
579,Barry Sonnenfeld,60023597
580,Nicholaus Goossen,81002876
581,Scott Hicks,70058017
582,Steven Soderbergh,70058024
583,Steven Soderbergh,70011211
584,Morgan Spurlock,70271599
585,Martin Scorsese,70020699
586,Stig Bergqvist,60003540
587,Wes Craven,1181550
588,Asif Kapadia,70170051
589,Robert Rodriguez,70021630
590,Dorian Fernández-Moris,81043753
591,Jeannot Szwarc,60001761
592,Bryan Singer,70041963
593,Ash Brannon,70058025
594,Andy Tennant,70128696
595,Rob Reiner,70077542
596,Marek Piwowski,81168342
597,Kunle Afolayan,81165772
598,Brian Levant,510854
599,Brian Levant,60000921
600,Stanisław Różewicz,81168343
601,Gabriele Muccino,70044605
602,Igor Kovalyov,18021979
603,Krzysztof Zanussi,81168344
604,Noah Baumbach,70020750
605,Robert Schwentke,70105596
606,Danny Boyle,60037022
607,Wolfgang Petersen,60034571
608,Paul Feig,70053456
609,Alex Smith,80173150
610,Antoni Krauze,81168341
611,Stanisław Różewicz,81168346
612,Simranjit Singh Hundal,80137461
613,Justin G. Dyck,81012857
614,Ram Gopal Varma,70123116
615,N. Linguswamy,80190101
616,Deep Joshi,81024712
617,Antoine Fuqua,70112494
618,John Curran,80215922
619,Rakeysh Omprakash Mehra,70113306
620,Anurag Kashyap,70113305
621,Manjeet Maan,80032472
622,Shagufta Rafique,81024703
623,Shakun Batra,70181653
624,Andrew Renzi,80048200
625,Tinu Pappachan,81025884
626,Amitoj Mann,80032474
627,Amarpreet G S Chabbra,80032476
628,Paresh Mokashi,70127589
629,Anurag Basu,80104130
630,Rohit Jugraj,80032473
631,Ashutosh Gowariker,70090035
632,Atharv Baluja,81024713
633,Vishal Bhardwaj,70117268
634,Leslie Small,70211216
635,Shannon Hartman,70140322
636,Rohit Jugraj,81024696
637,Shashanka Ghosh,70303428
638,Steve Greenwood,81012407
639,Puneet Sira,70125882
640,Aziz Mirza,70101039
641,Renzil D'Silva,70123121
642,Smeep Kang,80152182
643,Sameer Sharma,70229042
644,Chandan Arora,70042756
645,Baljit Singh Deo,80187618
646,Amitoj Mann,81024704
647,Jennifer Peedom,80221498
648,Mysskin,70229047
649,Rajan Madhav,70229555
650,Raaghav Dar,70213515
651,Ishi Rudell,81018563
652,Ishi Rudell,81018565
