,duration_minutes,title,release_year,rating,description,show_id,added_month,added_month_name,added_year
0,90,Norm of the North: King Sized Adventure,2019,TV-PG,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",81145628,9,September,2019
1,94,Jandino: Whatever it Takes,2016,TV-MA,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",80117401,9,September,2016
2,99,#realityhigh,2017,TV-14,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",80125979,9,September,2017
3,110,Automata,2014,R,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",70304989,9,September,2017
4,60,Fabrizio Copano: Solo pienso en mi,2017,TV-MA,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",80164077,9,September,2017
5,90,Good People,2014,R,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,70304990,9,September,2017
6,78,Joaquín Reyes: Una y no más,2017,TV-MA,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",80169755,9,September,2017
7,95,Kidnapping Mr. Heineken,2015,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",70299204,9,September,2017
8,58,Krish Trish and Baltiboy,2009,TV-Y7,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",80182480,9,September,2017
9,62,Krish Trish and Baltiboy: Battle of Wits,2013,TV-Y7,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",80182483,9,September,2017
10,65,Krish Trish and Baltiboy: Best Friends Forever,2016,TV-Y,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",80182596,9,September,2017
11,61,Krish Trish and Baltiboy: Comics of India,2012,TV-Y7,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",80182482,9,September,2017
12,65,Krish Trish and Baltiboy: Oversmartness Never Pays,2017,TV-Y7,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",80182597,9,September,2017
13,58,Krish Trish and Baltiboy: Part II,2010,TV-Y7,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",80182481,9,September,2017
14,60,Krish Trish and Baltiboy: The Greatest Trick,2013,TV-Y7,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",80182621,9,September,2017
15,135,Love,2015,NR,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,80057969,9,September,2017
16,98,Manhattan Romance,2014,TV-14,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,80060297,9,September,2017
17,96,Moonwalkers,2015,R,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",80046728,9,September,2017
18,79,Rolling Papers,2015,TV-MA,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",80046727,9,September,2017
19,113,Stonehearst Asylum,2014,PG-13,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",70304988,9,September,2017
20,90,The Runner,2015,R,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,80057700,9,September,2017
21,80,6 Years,2015,NR,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80045922,9,September,2015
22,77,City of Joy,2018,TV-MA,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",80203094,9,September,2018
23,112,Laddaland,2011,TV-MA,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",70241607,9,September,2018
24,106,Next Gen,2018,TV-PG,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",80988892,9,September,2018
25,106,Sierra Burgess Is A Loser,2018,PG-13,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,80239639,9,September,2018
26,102,The Most Assassinated Woman in the World,2018,TV-MA,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",80159586,9,September,2018
27,114,Cézanne et moi,2016,R,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",80152447,9,September,2017
28,125,Article 15,2019,TV-MA,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,81154455,9,September,2019
29,142,Care of Kancharapalem,2018,TV-14,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",81113928,9,September,2019
30,133,Ee Nagaraniki Emaindi,2018,TV-14,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",81052275,9,September,2019
31,100,Kill Me If You Dare,2019,TV-14,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",81132437,9,September,2019
32,86,Hell and Back,2015,R,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",80058026,9,September,2018
33,146,PK,2014,TV-14,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,70303496,9,September,2018
34,79,Hard Tide,2015,TV-MA,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,80162141,9,September,2017
35,102,Elstree 1976,2015,TV-PG,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",80095641,9,September,2016
36,10,American Factory: A Conversation with the Obamas,2019,TV-G,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,81176188,9,September,2019
37,122,ATM,2012,TV-14,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",80159880,9,September,2018
38,126,Bangkok Traffic (Love) Story,2009,TV-14,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",81016044,9,September,2018
39,116,I Fine... Thank You... Love You,2014,TV-14,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",80158838,9,September,2018
40,135,One Day,2016,TV-PG,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",81016045,9,September,2018
41,125,Phobia 2,2009,TV-MA,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",70142798,9,September,2018
42,96,Shutter,2004,TV-MA,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",70062814,9,September,2018
43,130,Suckseed,2011,TV-MA,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",80158839,9,September,2018
44,98,Carrie Pilby,2016,TV-14,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",80147760,9,September,2017
45,70,Marc Maron: Too Real,2017,TV-MA,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",80177405,9,September,2017
46,128,Saawan,2016,TV-14,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",81160036,9,September,2019
47,88,The Heretics,2017,TV-MA,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,81173255,9,September,2019
48,108,The World We Make,2019,PG,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",81078908,9,September,2019
49,93,Watchman,2019,TV-14,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",81155784,9,September,2019
50,135,Black Panther,2018,PG-13,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",80201906,9,September,2018
51,88,Man Up,2015,R,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",80052612,9,September,2018
52,64,Mo Gilligan: Momentum,2019,TV-MA,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",81054495,9,September,2019
53,107,Big Miracle,2012,PG,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",70212504,9,September,2018
54,130,The Mayor,2017,TV-MA,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",80187061,9,September,2017
55,92,Amanda Knox,2016,TV-MA,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,80081155,9,September,2016
56,96,The Debt Collector,2018,TV-MA,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",80198585,9,September,2018
57,112,Act of Vengeance,2010,NR,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",70233894,9,September,2018
58,111,Paradise Lost,2018,TV-MA,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",81011955,9,September,2018
59,103,Gerald's Game,2017,TV-MA,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",80128722,9,September,2017
60,40,Long Shot,2017,TV-14,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",80182115,9,September,2017
61,103,Our Souls at Night,2017,TV-14,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",80104068,9,September,2017
